rakhine,english
"ငါ / အကျွန်","I"
"နင် / မင်း / အဆွေ","you (singular informal)"
"နင် / မင်း / အဆွေ","you (formal)"
"ယင်းသူ / ယင်းကလေ","he"
"ယင်းသူ / ယင်းကလိမ့်မေ","she"
"သူရို့","they"
"ငါရို့","we"
"နင်ရို့ / မင်းရို့ / အဆွေရို့","you (plural informal)"
"နင်ရို့ / မင်းရို့ / အဆွေရို့","you (plural formal)"
"ကိုယ်","oneself / I (reflexive)"
"ယင်းလူ","that person"
"ဒေလူ","this person"
"လူ","person"
"မမက်","woman"
"ယောက်ျား","man"
"အချေ","child"
"အဖ","father"
"အမိ","mother"
"အစ်ကို","older brother"
"ညီချေ","younger brother"
"အေးမ","older sister"
"နှမချေ","younger sister"
"အဘိုး","grandfather"
"အဘောင်","grandmother"
"မိတ်ဆွေ / သူငယ်ချင်း","friend"
"ဆရာ","teacher"
"ဆရာမ","teacher (female)"
"ကျောင်းသား","student (male)"
"ကျောင်းသူ","student (female)"
"လူကြီး","elder"
"လူငယ်","youth"
"အလုပ်သမား","worker"
"သူဌေး","boss"
"နိုင်ငံသား","citizen"
"ရှင်ဘုရင် / မင်း","king / you (informal archaic)"
"မိဖုရား","queen"
"ဘုရားသခင်","God"
"အဖွဲ့ဝင်","member"
"ခေါင်းဆောင်","leader"
"စစ်သား","soldier"
"ရဲ အရာရှိ","police officer"
"ဆရာဝန်","doctor"
"သူနာပြု","nurse"
"အင်ဂျင်နီယာ","engineer"
"ကျောင်းအုပ်","principal"
"တရားသူကြီး","judge"
"အကြီးအကဲ","chief"
"အိမ်ရှင်","host"
"အာဂန္တု / ဧည့်သည်","guest"
"လူ တစ်ယောက်","a person"
"လူ တစ်ယောက်","one person"
"တစ်ယောက်တည်း","alone person"
"ဇာသူ","who"
"ဇာသူ","who (informal)"
"ငါ့","my / mine"
"နင့် / မင်း / အဆွေ့ ","your (informal)"
"ယင်းသူ့","his / her / its"
"ငါရို့","our"
"မင်းရို့ / နင်ရို့ / အဆွေရို့","your (plural)"
"ယင်းသူရို့","their"
"မိမိ","one's own"
"ကိုယ့်","one's own (informal)"
"မိမိကိုယ်တိုင်","oneself"
"ကိုယ်တိုင်","oneself"
"လူတစ်ဦးတစ်ယောက်","an individual"
"တစ်ယောက်ချင်း","individual"
"လူမျိုး","ethnic group / people"
"မိသားစု","family"
"အဖွဲ့","group"
"အဖွဲ့အစည်း","organization"
"အသင်း","team"
"လူစု","crowd"
"ပြည်သူ","public / people"
"ပြည်သူလူထု","public population"
"လူသား","human"
"လူသားမျိုးနွယ်","humanity"
"လူ့အဖွဲ့အစည်း","society"
"လူတန်းစား","class (social)"
"ဆွေမျိုး","relative"
"ဆွေမျိုးသားချင်း","relatives"
"မိတ်ဖက်","partner"
"လုပ်ဖော်ကိုင်ဖက်","colleague"
"အိမ်သား","household member"
"မိဘ","parents"
"သား","son"
"သမီး","daughter"
"အကျွန်","I (male polite)"
"အကျွန်","I (female polite)"
"အကျွန်ရို့","we (male group polite)"
"အကျွန်ရို့","we (female group polite)"
"မင်း / နင် / အဆွေ","you (informal)"
